emoji,name,category,compatibility_rating,sequence_type,code_points,notes,keywords
☺️,white smiling face,Smileys & People,usually_safer,variation_sequence,U+263A U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",face; happy; outlined; relaxed; smile; smiling; white
☹️,white frowning face,Smileys & People,usually_safer,variation_sequence,U+2639 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",face; frown; frowning; sad; white
☠️,skull and crossbones,Smileys & People,usually_safer,variation_sequence,U+2620 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",and; bone; caution; crossbones; danger; dead; death; face; hazard; monster; pirate; poison; skull
✊,raised fist,Smileys & People,usually_safer,single_code_point,U+270A,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",clenched; fist; hand; punch; raised; solidarity
✌️,victory hand,Smileys & People,usually_safer,variation_sequence,U+270C U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",hand; peace; v; victory
☝️,white up pointing index,Smileys & People,usually_safer,variation_sequence,U+261D U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",finger; hand; index; point; pointing; this; up; white
✋,raised hand,Smileys & People,usually_safer,single_code_point,U+270B,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",5; five; hand; high; raised; stop
✍️,writing hand,Smileys & People,usually_safer,variation_sequence,U+270D U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",draw; edit; hand; write; writing
⛑,helmet with white cross,Smileys & People,usually_safer,single_code_point,U+26D1,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",aid; cross; face; hat; helmet; rescue; white; with; worker’s
☘️,shamrock,Nature & Weather,usually_safer,variation_sequence,U+2618 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",green; irish; nature; outdoors; plant; shamrock
⭐️,white medium star,Nature & Weather,usually_safer,variation_sequence,U+2B50 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",astronomy; gold; medium; star; stars; white; yellow
✨,sparkles,Nature & Weather,usually_safer,single_code_point,U+2728,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",*; glitter; gold; magic; shiny; sparkle; sparkles; star; yellow
⚡️,high voltage sign,Nature & Weather,usually_safer,variation_sequence,U+26A1 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",danger; electric; electricity; gold; high; lightning; nature; sky; thunder; thunderbolt; voltage; weather; yellow; zap
☄️,comet,Nature & Weather,usually_safer,variation_sequence,U+2604 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",comet; nature; outdoors; sky; space; weather
☀️,black sun with rays,Nature & Weather,usually_safer,variation_sequence,U+2600 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; bright; gold; rays; sky; space; sun; sunny; weather; with; yellow
⛅️,sun behind cloud,Nature & Weather,usually_safer,variation_sequence,U+26C5 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",behind; cloud; cloudy; sky; sun; weather
☁️,cloud,Nature & Weather,usually_safer,variation_sequence,U+2601 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",cloud; sky; weather; white
⛈,thunder cloud and rain,Nature & Weather,usually_safer,single_code_point,U+26C8,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",and; cloud; lightning; rain; sky; thunder; thunderstorm; weather; with
❄️,snowflake,Nature & Weather,usually_safer,variation_sequence,U+2744 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",blue; cold; light blue; sky; snow; snowflake; weather
☃️,snowman,Nature & Weather,usually_safer,variation_sequence,U+2603 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",cold; man; sky; snow; snowman; weather; white
⛄️,snowman without snow,Nature & Weather,usually_safer,variation_sequence,U+26C4 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",cold; man; sky; snow; snowman; weather; white; without
☔️,umbrella with rain drops,Nature & Weather,usually_safer,variation_sequence,U+2614 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",blue; clothing; drop; drops; light blue; rain; sky; umbrella; weather; with
☂️,umbrella,Nature & Weather,usually_safer,variation_sequence,U+2602 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",blue; clothing; light blue; rain; sky; umbrella; weather
☕️,hot beverage,Food & Drink,usually_safer,variation_sequence,U+2615 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",beverage; brown; cafe; caffeine; chai; coffee; drink; hot; morning; steaming; tea
⚽️,soccer ball,Activities,usually_safer,variation_sequence,U+26BD U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",ball; football; futbol; game; play; soccer; sport
⚾️,baseball,Activities,usually_safer,variation_sequence,U+26BE U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",ball; baseball; game; play; sport
⛳️,flag in hole,Activities,usually_safer,variation_sequence,U+26F3 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",flag; game; golf; hole; in; play; sport
⛸,ice skate,Activities,usually_safer,single_code_point,U+26F8,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",game; ice; play; skate; skating; sport
⛷,skier,Activities,usually_safer,single_code_point,U+26F7,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",game; play; ski; skier; snow; sport
⛹️,person with ball,Activities,usually_safer,variation_sequence,U+26F9 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",athletic; ball; basketball; bouncing; championship; dribble; game; net; person; play; player; sport; throw; with
♟,black chess pawn,Activities,usually_safer,single_code_point,U+265F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",black; chess; dark; dupe; expendable; game; pawn; play; sport
✈️,airplane,Travel & Places,usually_safer,variation_sequence,U+2708 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",aeroplane; airplane; fly; flying; jet; plane; transport; travel; vehicle
⛵️,sailboat,Travel & Places,usually_safer,variation_sequence,U+26F5 U+FE0F,"Conservative BMP-only shortlist; test in your own WHMCS database, template, and mail pipeline.",boat; resort; sailboat; sailing; sea; transport; travel; vehicle; yacht
